[grade] starting judge=gigachat-self variants=['b1', 'b1f', 'b2'] input=experiment/results
[grade] progress 25 done, mean_score=3.20
[grade] progress 50 done, mean_score=3.12
[grade] progress 75 done, mean_score=3.17
[grade] progress 100 done, mean_score=3.20
[grade] progress 125 done, mean_score=3.17
[grade] progress 150 done, mean_score=3.12
[grade] progress 175 done, mean_score=3.10
[grade] progress 200 done, mean_score=3.10
[grade] progress 225 done, mean_score=3.11
[grade] progress 250 done, mean_score=3.12
[grade] progress 275 done, mean_score=3.14
[grade] progress 300 done, mean_score=3.15
[grade] progress 325 done, mean_score=3.12
[grade] progress 350 done, mean_score=3.11
[grade] progress 375 done, mean_score=3.11
[grade] progress 400 done, mean_score=3.11
[grade] progress 425 done, mean_score=3.12
[grade] progress 450 done, mean_score=3.13
[grade] progress 475 done, mean_score=3.12
[grade] progress 500 done, mean_score=3.11
[grade] progress 525 done, mean_score=3.09
[grade] DONE total_judged=540 fails=0 mean_score=3.083 judge=gigachat-self cost_estimated~=324.0 RUB
